,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_1st_down,field_pos,game_date,game_id,season,month,date_full,game_hour,stadium_city,away_team,home_team,away_team_final_score,home_team_final_score,game_week,yardline_100,passer,receiver,intended_receiver,pass_attempt,pass_comp,passing_yds,rusher,rush_yds,yds_gained_per_play,td,pass_td,rush_td,extra_point_attempt,extra_point_result,fg_attempt,fg_attempt_result,fg_attempt_distance,fg_kicker,kickoff_player,kickoff_yds,kickoff_returner,kickoff_ret_yds,punt,punt_td,punt_yds,punter,timeout,def_player_action,int,int_td,int_player,int_ret_yds,sack,sack_yds,fumble,fumble_td,fum_player,fum_force_player,fum_recov_player,fum_recov_team,penalty,penalty_type,penalty_yds,penalty_team,penalty_player
22,Pass,"J. Stegman pass complete to K. Wedderburn for 13 yards to the CC0, 1ST DOWN IR, TOUCHDOWN, clock 08:09, M. Sarikatipogl kick attempt good.",1,4,Istanbul Rams,3,3,1:42,3rd,0,CC13,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,13,J. Stegman,K. Wedderburn,K. Wedderburn,1,1,13,,,13,1,1,0,1,good,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
23,Kickoff,"M. Sarikatipogl kickoff 57 yards to the CC13, P. Lenhardt return 22 yards to the CC35 (U. Ozelce,Y. Ertur).",1,4,Istanbul Rams,3,3,1:42,1st,0,IR30,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,70,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,M. Sarikatipogl,57,P. Lenhardt,22,0,0,0,,0,"U. Ozelce,Y. Ertur",0,0,,,0,,0,0,,,,,0,,0,,
24,Drive start,COLOGNE CENTURIONS drive start at 08:03.,1,5,Cologne Centurions,7,41,2:56,1st,10,CC35,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,65,,,,0,0,,,,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,,0,0,,,0,,0,0,,,,,0,,0,,
25,Pass,J. Weinreich pass complete to Q. Pounds for 4 yards to the CC39 (J. Milliken).,1,5,Cologne Centurions,7,41,2:56,1st,10,CC35,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,65,J. Weinreich,Q. Pounds,Q. Pounds,1,1,4,,,4,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,J. Milliken,0,0,,,0,,0,0,,,,,0,,0,,
26,Pass,"J. Weinreich pass complete to J. Loercks for 23 yards to the IR38, 1ST DOWN CC (A. Isik,C. Walrond).",1,5,Cologne Centurions,7,41,2:56,2nd,6,CC39,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,61,J. Weinreich,J. Loercks,J. Loercks,1,1,23,,,23,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"A. Isik,C. Walrond",0,0,,,0,,0,0,,,,,0,,0,,
27,Rush,"T. King rush for 13 yards to the IR25, 1ST DOWN CC (C. Walrond,B. Zaimoglu).",1,5,Cologne Centurions,7,41,2:56,1st,10,IR38,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,38,,,,0,0,,T. King,13,13,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"C. Walrond,B. Zaimoglu",0,0,,,0,,0,0,,,,,0,,0,,
28,Rush,"T. King rush for 2 yards to the IR23 (Z. Blair,C. Walrond).",1,5,Cologne Centurions,7,41,2:56,1st,10,IR25,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,25,,,,0,0,,T. King,2,2,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,"Z. Blair,C. Walrond",0,0,,,0,,0,0,,,,,0,,0,,
29,Rush,T. King rush for no gain to the IR23 (Z. Blair).,1,5,Cologne Centurions,7,41,2:56,2nd,8,IR23,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,23,,,,0,0,,T. King,0,0,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,Z. Blair,0,0,,,0,,0,0,,,,,0,,0,,
30,Rush,"J. Loercks rush for loss of 1 yard to the IR24 (J. Milliken), PENALTY CC Illegal Crackback declined.",1,5,Cologne Centurions,7,41,2:56,3rd,8,IR23,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,23,,,,0,0,,J. Loercks,-1,-1,0,0,0,0,nan,0,nan,0,,,,,,0,0,0,,0,J. Milliken,0,0,,,0,,0,0,,,,,0,,0,,
31,Field goal attempt,"J. Appelt field goal attempt from 41 BLOCKED, recovered by IR TEAM at IR5 spot at IR5, clock 05:07 (blocked by Z. Blair), A. Isik for no gain to the IR5.",1,5,Cologne Centurions,7,41,2:56,4th,9,IR24,220604,2206IstCol,2022.0,6.0,"Saturday, June 4, 2022",17:00,Cologne,Istanbul Rams,Cologne Centurions,38.0,40.0,1.0,24,,,,0,0,,,,0,0,0,0,0,nan,1,blocked,41,J. Appelt,,,,,0,0,0,,0,blocked by Z. Blair,0,0,,,0,,0,0,,,,,0,,0,,
