,season,month,date_full,game_hour,stadium_city,away_team,home_team,home_team_final_score,away_team_final_score,game_week,game_id
31,2021,08,"Sunday, August 22, 2021",13:00,,Barcelona Dragons,Berlin Thunder,3,19,10,2108BarBer
32,2021,08,"Sunday, August 22, 2021",15:00,,Panthers Wroclaw,Hamburg Sea Devils,30,24,10,2108PanHam
33,2021,08,"Saturday, August 28, 2021",19:00,,Frankfurt Galaxy,Barcelona Dragons,22,14,11,2108FraBar
34,2021,08,"Sunday, August 29, 2021",13:00,,Berlin Thunder,Panthers Wroclaw,12,35,11,2108BerPan
35,2021,08,"Sunday, August 29, 2021",15:00,,Leipzig Kings,Hamburg Sea Devils,18,17,11,2108LeiHam
36,2021,08,"Sunday, August 29, 2021",17:00,,Stuttgart Surge,Cologne Centurions,9,19,11,2108StuCol
37,2021,09,"Sunday, September 5, 2021",15:00,,Cologne Centurions,Frankfurt Galaxy,7,45,12,2109ColFra
38,2021,09,"Sunday, September 5, 2021",15:00,,Berlin Thunder,Stuttgart Surge,38,0,12,2109BerStu
39,2021,09,"Sunday, September 5, 2021",15:00,,Panthers Wroclaw,Leipzig Kings,21,13,12,2109PanLei
40,2021,09,"Saturday, September 11, 2021",14:45,,Cologne Centurions,Frankfurt Galaxy,6,36,13,2109ColFra
41,2021,09,"Sunday, September 12, 2021",14:45,Hamburg,Panthers Wroclaw,Hamburg Sea Devils,27,30,13,2109PanHam
